question_id,LGSM_Top1_Correct,LLM_Top1_Correct,Oracle_Sentence,Oracle_Question,Oracle_Answer,Oracle_Verified,LGSM_Sentence,LGSM_Question,LGSM_Answer,LGSM_Verified,LLMJudge_Sentence,LLMJudge_Question,LLMJudge_Answer,LLMJudge_Verified
ctx_validation_147,1,1,"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1.",What was the name of the spacecraft that was the first unmanned test flight of the Lunar Module (LM) in Earth orbit?,Apollo 5,1,"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1.",What was the purpose of Apollo 5 (AS-204)?,unmanned test flight of LM in Earth orbit,1,"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1.",What was the name of the spacecraft that was the first unmanned test flight of the Lunar Module (LM) in Earth orbit?,Apollo 5,1
ctx_validation_148,1,1,"In 1917, around the time that the Wardenclyffe Tower was demolished by Boldt to make the land a more viable real estate asset, Tesla received AIEE's highest honor, the Edison Medal.",When did Tesla receive the highest award given by the American Institute of Electrical Engineers?,1917,1,"In 1917, around the time that the Wardenclyffe Tower was demolished by Boldt to make the land a more viable real estate asset, Tesla received AIEE's highest honor, the Edison Medal.",When did Tesla receive the highest honor of the American Institute of Electrical Engineers?,1917,1,"Eventually, he sold Wardenclyffe for $20,000 ($472,500 in today's dollars).",How much did Tesla sell Wardenclyffe for after losing funding due to the start of World War I?,"$20,000 ($472,500 in today's dollars)",1
ctx_validation_149,1,1,"The university partially manages Argonne National Laboratory, part of the United States Department of Energy's national laboratory system, and has a joint stake in Fermilab, a nearby particle physics laboratory, as well as a stake in the Apache Point Observatory in Sunspot, New Mexico.",What facilities does the university manage or have a stake in besides its own operations?,"Argonne National Laboratory, Fermilab, Apache Point Observatory, Toyota Technological Institute at Chicago",1,"The university partially manages Argonne National Laboratory, part of the United States Department of Energy's national laboratory system, and has a joint stake in Fermilab, a nearby particle physics laboratory, as well as a stake in the Apache Point Observatory in Sunspot, New Mexico.",What additional facilities does the university manage or have a stake in besides its own operations?,"Argonne National Laboratory, Fermilab, and Apache Point Observatory",1,The university operates 12 research institutes and 113 research centers on campus.,How many research institutes and research centers does the university operate on its campus?,12,1
ctx_validation_15,1,1,"The Mongol military was also successful in siege warfare, cutting off resources for cities and towns by diverting certain rivers, taking enemy prisoners and driving them in front of the army, and adopting new ideas, techniques and tools from the people they conquered, particularly in employing Muslim and Chinese siege engines and engineers to aid the Mongol cavalry in capturing cities.",What tactics did the Mongol military use effectively in siege warfare?,"Cutting off resources, taking enemy prisoners, driving them in front of the army, using new ideas, techniques, and tools from the people they conquered, particularly in employing Muslim and Chinese siege engines and",1,"The Mongol military was also successful in siege warfare, cutting off resources for cities and towns by diverting certain rivers, taking enemy prisoners and driving them in front of the army, and adopting new ideas, techniques and tools from the people they conquered, particularly in employing Muslim and Chinese siege engines and engineers to aid the Mongol cavalry in capturing cities.",What tactics did the Mongol military use effectively during sieges?,"Cutting off resources, taking enemy prisoners, driving them in front of the army, using siege engines and engineers",1,"The Mongol military was also successful in siege warfare, cutting off resources for cities and towns by diverting certain rivers, taking enemy prisoners and driving them in front of the army, and adopting new ideas, techniques and tools from the people they conquered, particularly in employing Muslim and Chinese siege engines and engineers to aid the Mongol cavalry in capturing cities.",What tactics did the Mongol military use effectively during sieges?,"Cutting off resources, taking enemy prisoners, driving them in front of the army, using siege engines and engineers",1
ctx_validation_150,1,1,"The UMC is also a member of the Wesleyan Holiness Consortium, which seeks to reconceive and promote Biblical holiness in today's Church.",What organization does the UMC belong to that aims to reformulate and spread biblical holiness within contemporary Christian communities?,Wesleyan Holiness Consortium,1,"The UMC is also a member of the Wesleyan Holiness Consortium, which seeks to reconceive and promote Biblical holiness in today's Church.",What organization does the United Methodist Church (UMC) belong to that aims to reframe and support biblical holiness within contemporary Christian communities?,Wesleyan Holiness Consortium,1,"The UMC is also a member of the Wesleyan Holiness Consortium, which seeks to reconceive and promote Biblical holiness in today's Church.",What organization does the UMC belong to that aims to reframe and promote biblical holiness within contemporary Christianity?,Wesleyan Holiness Consortium,1
ctx_validation_151,1,1,"To counter the French military presence in Ohio, in October 1753 Dinwiddie ordered the 21-year-old Major George Washington (whose brother was another Ohio Company investor) of the Virginia Regiment to warn the French to leave Virginia territory.",Who did Governor Dinwiddie order to warn the French to leave Virginia territory?,Major George Washington,1,"To counter the French military presence in Ohio, in October 1753 Dinwiddie ordered the 21-year-old Major George Washington (whose brother was another Ohio Company investor) of the Virginia Regiment to warn the French to leave Virginia territory.",Who did Governor Dinwiddie order to warn the French to leave Virginia territory?,Major George Washington,1,"Governor Robert Dinwiddie of Virginia was an investor in the Ohio Company, which stood to lose money if the French held their claim.",What did Governor Robert Dinwiddie of Virginia stand to lose financially?,money if the French held their claim,1
ctx_validation_152,1,1,"While studying law and philosophy in England and Germany, Iqbal became a member of the London branch of the All India Muslim League.",What organization did Iqbal join while he studied law and philosophy in England and Germany?,All India Muslim League,1,"While studying law and philosophy in England and Germany, Iqbal became a member of the London branch of the All India Muslim League.",What organization did Iqbal join while studying law and philosophy in England and Germany?,All India Muslim League,1,"While studying law and philosophy in England and Germany, Iqbal became a member of the London branch of the All India Muslim League.",Where did Iqbal become a member of the All India Muslim League while studying law and philosophy?,London,1
ctx_validation_153,0,1,"Prevenient grace, or the grace that ""goes before"" us, is given to all people.",What type of grace is described as being given to all people?,Prevenient grace,1,"In this work, God desires that we might sense both our sinfulness before God and God's offer of salvation.",What does prevenient grace desire for individuals?,sensing both their sinfulness before God and God's offer of salvation,1,"Prevenient grace, or the grace that ""goes before"" us, is given to all people.",What type of grace is described as being given to all people?,Prevenient grace,1
ctx_validation_154,1,1,"Published comments on Kenya's Capital FM website by Liu Guangyuan, China's ambassador to Kenya, at the time of President Kenyatta's 2013 trip to Beijing, said, ""Chinese investment in Kenya ... reached $474 million, representing Kenya's largest source of foreign direct investment, and ... bilateral trade ... reached $2.84 billion"" in 2012.","What did Liu Guangyuan, China's ambassador to Kenya, state about Chinese investment and trade with Kenya in 2012?",$474 million in Chinese investment and $2.84 billion in bilateral trade in 2012.,1,"Published comments on Kenya's Capital FM website by Liu Guangyuan, China's ambassador to Kenya, at the time of President Kenyatta's 2013 trip to Beijing, said, ""Chinese investment in Kenya ... reached $474 million, representing Kenya's largest source of foreign direct investment, and ... bilateral trade ... reached $2.84 billion"" in 2012.","What did Liu Guangyuan, China's ambassador to Kenya, state about Chinese investments and trade with Kenya in 2012?",$474 million in Chinese investment and $2.84 billion in bilateral trade in 2012.,1,"Published comments on Kenya's Capital FM website by Liu Guangyuan, China's ambassador to Kenya, at the time of President Kenyatta's 2013 trip to Beijing, said, ""Chinese investment in Kenya ... reached $474 million, representing Kenya's largest source of foreign direct investment, and ... bilateral trade ... reached $2.84 billion"" in 2012.","What did Liu Guangyuan, China's ambassador to Kenya, state about Chinese investments and trade with Kenya in 2012?",$474 million in Chinese investment and $2.84 billion in bilateral trade in 2012.,1
ctx_validation_155,1,0,Bills can be introduced to Parliament in a number of ways; the Scottish Government can introduce new laws or amendments to existing laws as a bill; a committee of the Parliament can present a bill in one of the areas under its remit; a member of the Scottish Parliament can introduce a bill as a private member; or a private bill can be submitted to Parliament by an outside proposer.,How many different methods exist for introducing bills into Parliament?,three,0,Bills can be introduced to Parliament in a number of ways; the Scottish Government can introduce new laws or amendments to existing laws as a bill; a committee of the Parliament can present a bill in one of the areas under its remit; a member of the Scottish Parliament can introduce a bill as a private member; or a private bill can be submitted to Parliament by an outside proposer.,How many different methods exist for introducing bills to Parliament?,three,0,Most draft laws are government bills introduced by ministers in the governing party.,What type of draft law is most commonly introduced into Parliament?,government bills introduced by ministers in the governing party,1
ctx_validation_156,1,1,"The British were supported in the war by the Iroquois Six Nations, and also by the Cherokee – until differences sparked the Anglo-Cherokee War in 1758.",Which two groups provided support to the British during the war?,Iroquois Six Nations and Cherokee,1,"The British were supported in the war by the Iroquois Six Nations, and also by the Cherokee – until differences sparked the Anglo-Cherokee War in 1758.",Which two groups provided support to the British during the war?,Iroquois Six Nations and Cherokee,1,"Further south the Southeast interior was dominated by Siouan-speaking Catawba, Muskogee-speaking Creek and Choctaw, and the Iroquoian-speaking Cherokee tribes.",What groups dominated the Southeast interior further south?,"Siouan-speaking Catawba, Muskogee-speaking Creek and Choctaw, and the Iroquoian-speaking Cherokee tribes.",1
ctx_validation_157,1,1,Immunodeficiencies occur when one or more of the components of the immune system are inactive.,What does the target sentence describe?,"The target sentence describes how various factors can lead to immunodeficiencies, including genetic mutations, surgical removal, aging, obesity, alcoholism, and drug use.",0,Immunodeficiencies occur when one or more of the components of the immune system are inactive.,What phenomenon does the passage describe as occurring when one or more parts of the immune system become inactive?,Immunodeficiencies,1,Immunodeficiencies occur when one or more of the components of the immune system are inactive.,What phenomenon does the context describe as occurring when one or more components of the immune system become inactive?,Immunodeficiencies,1
ctx_validation_158,1,1,"From 1979 to 1981, TVO airings were bookended by science-fiction writer Judith Merril who would introduce the episode and then, after the episode concluded, try to place it in an educational context in keeping with TVO's status as an educational channel.",What person introduced episodes from 1979 to 1981 before placing them in an educational context?,Judith Merril,1,"From 1979 to 1981, TVO airings were bookended by science-fiction writer Judith Merril who would introduce the episode and then, after the episode concluded, try to place it in an educational context in keeping with TVO's status as an educational channel.",What person introduced episodes from 1979 to 1981 before placing them in an educational context?,Judith Merril,1,TVOntario picked up the show in 1976 beginning with The Three Doctors and aired each series (several years late) through to series 24 in 1991.,When did TVOntario start broadcasting Doctor Who?,1976,1
ctx_validation_159,1,1,"During pregnancy, a particular type of antibody, called IgG, is transported from mother to baby directly across the placenta, so human babies have high levels of antibodies even at birth, with the same range of antigen specificities as their mother.",What happens during pregnancy that results in human babies having high levels of antibodies similar to those found in their mothers?,IgG antibodies are transported from mother to baby directly across the placenta.,1,"During pregnancy, a particular type of antibody, called IgG, is transported from mother to baby directly across the placenta, so human babies have high levels of antibodies even at birth, with the same range of antigen specificities as their mother.",What happens during pregnancy that results in human babies having high levels of antibodies similar to those of their mothers?,"During pregnancy, a particular type of antibody, called IgG, is transported from mother to baby directly across the placenta.",1,Newborn infants have no prior exposure to microbes and are particularly vulnerable to infection.,What characteristic makes newborn infants particularly susceptible to infection?,No prior exposure to microbes,1
ctx_validation_16,1,1,"ABC's daytime schedule currently features talk shows The View and The Chew, and the soap opera General Hospital, the latter of which is the longest-running entertainment program in the history of the ABC television network, having aired since 1963.",What is the name of the longest-running entertainment program on ABC's daytime schedule?,General Hospital,1,"ABC's daytime schedule currently features talk shows The View and The Chew, and the soap opera General Hospital, the latter of which is the longest-running entertainment program in the history of the ABC television network, having aired since 1963.",What is the name of the longest-running entertainment program on ABC's daytime schedule?,General Hospital,1,"ABC's daytime schedule currently features talk shows The View and The Chew, and the soap opera General Hospital, the latter of which is the longest-running entertainment program in the history of the ABC television network, having aired since 1963.",What is the name of the longest-running entertainment program on ABC's daytime schedule?,General Hospital,1
ctx_validation_160,1,1,"Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper.",What additional types of artworks were included in the exhibition besides those created by British artists?,"porcelain, cloth, wallpaper",1,"Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper.",What additional types of artworks are included in the exhibition besides those created by British artists?,"porcelain, cloth, wallpaper",1,"Patrons who have influenced taste are also represented by works of art from their collections, these include: Horace Walpole (a major influence on the Gothic Revival), William Thomas Beckford and Thomas Hope.",Who are some patrons whose works of art are displayed alongside those of British artists and craftsmen at the gallery?,"Horace Walpole, William Thomas Beckford, and Thomas Hope",1
ctx_validation_161,1,1,"Like many cities in Central and Eastern Europe, infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy – though it is worth mentioning that the initial Three-Year Plan to rebuild Poland (especially Warsaw) was a major success, but what followed was very much the opposite.",What happened to Warsaw's infrastructure during its time as part of the Eastern Bloc?,Warsaw's infrastructure suffered significantly during its time as an Eastern Bloc economy.,1,"Like many cities in Central and Eastern Europe, infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy – though it is worth mentioning that the initial Three-Year Plan to rebuild Poland (especially Warsaw) was a major success, but what followed was very much the opposite.",What happened to the infrastructure of Warsaw during its time as part of the Eastern Bloc?,It suffered considerably.,1,"Like many cities in Central and Eastern Europe, infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy – though it is worth mentioning that the initial Three-Year Plan to rebuild Poland (especially Warsaw) was a major success, but what followed was very much the opposite.",What happened to the infrastructure of Warsaw during its time as part of the Eastern Bloc?,It suffered considerably.,1
ctx_validation_162,1,1,Diseases of poverty directly correlate with a country's economic performance and wealth distribution: Half of Kenyans live below the poverty level.,What percentage of Kenyans live below the poverty level?,Half of Kenyans live below the poverty level.,1,Diseases of poverty directly correlate with a country's economic performance and wealth distribution: Half of Kenyans live below the poverty level.,What percentage of Kenyans live below the poverty level?,Half of Kenyans live below the poverty level.,1,Diseases of poverty directly correlate with a country's economic performance and wealth distribution: Half of Kenyans live below the poverty level.,What percentage of Kenyans live below the poverty level?,Half of Kenyans live below the poverty level.,1
ctx_validation_163,1,1,"Cryptophytes, or cryptomonads are a group of algae that contain a red-algal derived chloroplast.","What do cryptophytes, also known as cryptomonads, contain?",a red-algal derived chloroplast,1,"Cryptophytes, or cryptomonads are a group of algae that contain a red-algal derived chloroplast.","What do cryptophytes, also known as cryptomonads, contain?",a red-algal derived chloroplast,1,"Cryptophytes, or cryptomonads are a group of algae that contain a red-algal derived chloroplast.","What type of algae do cryptophytes, also known as cryptomonads, belong to?",algae,1
ctx_validation_164,1,1,2013 Economics Nobel prize winner Robert J. Shiller said that rising inequality in the United States and elsewhere is the most important problem.,What did Robert J. Shiller believe was the most significant issue regarding inequality?,Rising inequality in the United States and elsewhere is the most important problem.,1,2013 Economics Nobel prize winner Robert J. Shiller said that rising inequality in the United States and elsewhere is the most important problem.,What did Robert J. Shiller believe was the most significant issue regarding economic growth?,Rising inequality,1,2013 Economics Nobel prize winner Robert J. Shiller said that rising inequality in the United States and elsewhere is the most important problem.,What did Robert J. Shiller believe was the most significant issue regarding economic growth?,Rising inequality,1
ctx_validation_165,1,1,"In 1226, immediately after returning from the west, Genghis Khan began a retaliatory attack on the Tanguts.",When did Genghis Khan begin a retaliatory attack on the Tanguts?,1226,1,"In 1226, immediately after returning from the west, Genghis Khan began a retaliatory attack on the Tanguts.",When did Genghis Khan start his retaliation against the Tanguts?,1226,1,"In 1226, immediately after returning from the west, Genghis Khan began a retaliatory attack on the Tanguts.",When did Genghis Khan start a retaliatory attack against the Tanguts?,1226,1
ctx_validation_166,1,1,"The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard's 21st and longest-serving president (1869–1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta.",When did the color crimson become officially associated with Harvard University?,1875,1,"The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard's 21st and longest-serving president (1869–1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta.",When did the color associated with Harvard come into use?,1858,1,"Harvard's 2,400 professors, lecturers, and instructors instruct 7,200 undergraduates and 14,000 graduate students.",How many undergraduate and graduate students does Harvard University have?,"17,200",0
ctx_validation_167,1,1,"After an unmanned LM test flight AS-206, a crew would fly the first Block II CSM and LM in a dual mission known as AS-207/208, or AS-278 (each spacecraft would be launched on a separate Saturn IB.)",What was the name of the mission where a crew flew the first Block II CSM and LM after an unmanned LM test flight?,AS-207/208,1,"After an unmanned LM test flight AS-206, a crew would fly the first Block II CSM and LM in a dual mission known as AS-207/208, or AS-278 (each spacecraft would be launched on a separate Saturn IB.)",What was the name of the mission where a crew flew the first Block II CSM and LM after an unmanned LM test flight AS-206?,AS-207/208,1,"After an unmanned LM test flight AS-206, a crew would fly the first Block II CSM and LM in a dual mission known as AS-207/208, or AS-278 (each spacecraft would be launched on a separate Saturn IB.)",What did NASA plan after conducting the AS-206 unmanned LM test flight?,"NASA planned a crewed AS-207/208 mission, also known as AS-278, which involved flying the first Block II CSM and LM together.",1
ctx_validation_168,1,1,"At the same time the Mongols imported Central Asian Muslims to serve as administrators in China, the Mongols also sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia, using foreigners to curtail the power of the local peoples of both lands.",What did the Mongols do simultaneously when importing Central Asian Muslims to serve as administrators in China?,sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia,1,"At the same time the Mongols imported Central Asian Muslims to serve as administrators in China, the Mongols also sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia, using foreigners to curtail the power of the local peoples of both lands.",What did the Mongols do simultaneously when importing Central Asian Muslims to serve as administrators in China?,sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia,1,"At the same time the Mongols imported Central Asian Muslims to serve as administrators in China, the Mongols also sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia, using foreigners to curtail the power of the local peoples of both lands.",What did the Mongols do simultaneously when importing Central Asian Muslims for administration in China?,sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia,1
ctx_validation_169,1,1,"The theologians, including Zwingli, Melanchthon, Martin Bucer, and Johannes Oecolampadius, differed on the significance of the words spoken by Jesus at the Last Supper: ""This is my body which is for you"" and ""This cup is the new covenant in my blood"" (1 Corinthians 11:23–26).",What did the theologians discuss regarding the significance of the words spoken by Jesus during the Last Supper?,"The significance of the words spoken by Jesus at the Last Supper: ""This is my body which is for you"" and ""This cup is the new covenant in my blood"" (1 Corinthians",1,"The theologians, including Zwingli, Melanchthon, Martin Bucer, and Johannes Oecolampadius, differed on the significance of the words spoken by Jesus at the Last Supper: ""This is my body which is for you"" and ""This cup is the new covenant in my blood"" (1 Corinthians 11:23–26).","What significant differences did the theologians, including Zwingli, Melanchthon, Martin Bucer, and Johannes Oecolampadius, have regarding the meaning of the words spoken by Jesus during the Last Supper?","On the significance of the words spoken by Jesus at the Last Supper, the theologians differed primarily over whether they referred to the physical presence of Christ's body and blood in the consecrated bread and",1,"The theologians, including Zwingli, Melanchthon, Martin Bucer, and Johannes Oecolampadius, differed on the significance of the words spoken by Jesus at the Last Supper: ""This is my body which is for you"" and ""This cup is the new covenant in my blood"" (1 Corinthians 11:23–26).",What were the theologians debating about regarding the Last Supper?,"The significance of the words spoken by Jesus at the Last Supper: ""This is my body which is for you"" and ""This cup is the new covenant in my blood"" (1 Corinthians",1
ctx_validation_17,1,1,"One theory suggests the name stems from a palatalised version of the Mongolian and Turkic word tenggis, meaning ""ocean"", ""oceanic"" or ""wide-spreading"". (","What does one theory propose about the origin of the name ""Genghis""?","The name ""Genghis"" is proposed to stem from a palatalized version of the Mongolian and Turkic word ""tenggis,"" meaning ""ocean,"" ""oceanic,""",1,"One theory suggests the name stems from a palatalised version of the Mongolian and Turkic word tenggis, meaning ""ocean"", ""oceanic"" or ""wide-spreading"". (",What does one theory suggest about the origin of the name?,"The name stems from a palatalised version of the Mongolian and Turkic word tenggis, meaning ""ocean"", ""oceanic"" or ""wide-spreading"".",1,"One theory suggests the name stems from a palatalised version of the Mongolian and Turkic word tenggis, meaning ""ocean"", ""oceanic"" or ""wide-spreading"". (","What theory proposes the origin of the name ""Chinggis""?","The theory suggesting the origin of the name ""Chinggis"" comes from a palatalized version of the Mongolian and Turkic word ""tenggis,"" meaning ""ocean,"" ""o",1
ctx_validation_170,0,0,"The second scale compresses the most recent era, so the most recent era is expanded in the third scale.",What does the second scale do?,shows the most recent eon with an expanded scale,1,"The first shows the entire time from the formation of the Earth to the present, but this compresses the most recent eon.",What does the first timeline represent?,The entire time from the formation of the Earth to the present,1,The following four timelines show the geologic time scale.,What does the passage describe?,geologic time scale,1
ctx_validation_171,1,1,Members of the genus Dinophysis have a phycobilin-containing chloroplast taken from a cryptophyte.,What type of chloroplast do members of the genus Dinophysis possess?,A phycobilin-containing chloroplast,1,Members of the genus Dinophysis have a phycobilin-containing chloroplast taken from a cryptophyte.,What type of chloroplast do members of the genus Dinophysis possess?,A phycobilin-containing chloroplast,1,Members of the genus Dinophysis have a phycobilin-containing chloroplast taken from a cryptophyte.,What type of chloroplast do members of the genus Dinophysis possess?,A phycobilin-containing chloroplast,1
ctx_validation_172,1,1,"In 1952, following pressure from Tesla's nephew, Sava Kosanović, Tesla's entire estate was shipped to Belgrade in 80 trunks marked N.T. In 1957, Kosanović's secretary Charlotte Muzar transported Tesla's ashes from the United States to Belgrade.",When did Tesla's entire estate arrive in Belgrade?,1952,1,"In 1952, following pressure from Tesla's nephew, Sava Kosanović, Tesla's entire estate was shipped to Belgrade in 80 trunks marked N.T. In 1957, Kosanović's secretary Charlotte Muzar transported Tesla's ashes from the United States to Belgrade.",When did Tesla's entire estate arrive in Belgrade?,1952,1,The ashes are displayed in a gold-plated sphere on a marble pedestal in the Nikola Tesla Museum.,Where is Tesla's ashes currently displayed?,Nikola Tesla Museum,1
ctx_validation_173,1,1,"The United Methodist Church is the largest denomination within the wider Methodist movement, which has approximately 80 million adherents across the world.",What is the largest denomination within the broader Methodist movement?,The United Methodist Church,1,"The United Methodist Church is the largest denomination within the wider Methodist movement, which has approximately 80 million adherents across the world.",What does the United Methodist Church rank as the largest denomination for?,mainline Protestant denomination,1,"The United Methodist Church is the largest denomination within the wider Methodist movement, which has approximately 80 million adherents across the world.",What is the largest denomination within the broader Methodist movement?,The United Methodist Church,1
ctx_validation_174,1,1,"There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.",What are the two main types of thylakoids mentioned in the passage?,granal thylakoids and stromal thylakoids,1,"There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.",What are the two main types of thylakoids mentioned in the passage?,granal thylakoids and stromal thylakoids,1,Stromal thylakoids are helicoid sheets that spiral around grana.,What structure do stromal thylakoids form around?,granum,0
ctx_validation_175,1,1,"KQTV is licensed to St. Joseph, Missouri, which is designated by Nielsen as a separate market from Kansas City despite being located within 55 miles (89 km) of one another, while WWSB and WOTV serve areas that do not receive an adequate signal from their market's primary ABC affiliate (in the case of WWSB, this dates back to when WTSP was Tampa's primary ABC affiliate prior to 1994, with the former being necessitated to serve the southern part of the Tampa market including the station's city of license, Sarasota, due to WTSP's transmitter being short-spaced to avoid interfering with the analog signal of Miami affiliate WPLG – which like WTSP, broadcast on VHF channel 10).",What does the target sentence describe about the stations' licensing and coverage?,"The stations have different licenses for each market they cover, serving distinct markets even though they're geographically close.",0,"KQTV is licensed to St. Joseph, Missouri, which is designated by Nielsen as a separate market from Kansas City despite being located within 55 miles (89 km) of one another, while WWSB and WOTV serve areas that do not receive an adequate signal from their market's primary ABC affiliate (in the case of WWSB, this dates back to when WTSP was Tampa's primary ABC affiliate prior to 1994, with the former being necessitated to serve the southern part of the Tampa market including the station's city of license, Sarasota, due to WTSP's transmitter being short-spaced to avoid interfering with the analog signal of Miami affiliate WPLG – which like WTSP, broadcast on VHF channel 10).","Which TV stations in Kansas City, Missouri have an analogous situation where they serve areas without adequate signals compared to their primary ABC affiliate?",KQTV and WWTV,1,"The network has the unusual distinction of having separately owned and operated affiliates which serve the same market in Tampa, Florida (WFTS-TV and WWSB) and Grand Rapids, Michigan (WZZM and WOTV), with an analogous situation arising in Kansas City, Missouri (KMBC-TV and KQTV).",What unique feature does the given passage describe about the network?,Separately owned and operated affiliates serving the same market,1
ctx_validation_176,1,1,"The first commercially successful true engine, in that it could generate power and transmit it to a machine, was the atmospheric engine, invented by Thomas Newcomen around 1712.",What type of engine was the first commercially successful true engine capable of generating power and transmitting it to a machine?,atmospheric engine,1,"The first commercially successful true engine, in that it could generate power and transmit it to a machine, was the atmospheric engine, invented by Thomas Newcomen around 1712.",What type of engine was the first commercially successful true engine capable of generating power and transmitting it to a machine?,atmospheric engine,1,"The first commercially successful true engine, in that it could generate power and transmit it to a machine, was the atmospheric engine, invented by Thomas Newcomen around 1712.",What type of engine was the first commercially successful one that could generate power and transmit it to a machine?,atmospheric engine,1
ctx_validation_177,1,0,"In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.",What significant contribution did the University of Chicago make to the field of economics?,"In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics.",1,"In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.",What significant contribution did the University of Chicago make to economic theory?,The University of Chicago played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics.,1,The University of Chicago has been the site of some important experiments and academic movements.,What significant events or developments have taken place at the University of Chicago?,"Some important experiments and academic movements have occurred at the University of Chicago, including the development of radiocarbon dating by Willard F. Libby, the discovery of REM sleep by Nathaniel Kleit",1
ctx_validation_178,1,1,"Modern primality tests for general numbers n can be divided into two main classes, probabilistic (or ""Monte Carlo"") and deterministic algorithms.",What are the two main classes of modern primality tests for general numbers?,"probabilistic (or ""Monte Carlo"") and deterministic algorithms",1,"Modern primality tests for general numbers n can be divided into two main classes, probabilistic (or ""Monte Carlo"") and deterministic algorithms.",What are the two main classes of modern primality tests for general numbers?,"probabilistic (or ""Monte Carlo"") and deterministic algorithms",1,"Modern primality tests for general numbers n can be divided into two main classes, probabilistic (or ""Monte Carlo"") and deterministic algorithms.",What are the two main classes of modern primality tests for general numbers?,"probabilistic (or ""Monte Carlo"") and deterministic algorithms",1
ctx_validation_179,1,1,"Nurses treat 80% of the population who visit dispensaries, health centres and private clinics in rural and under-served urban areas.","What percentage of the population visiting dispensaries, health centers, and private clinics in rural and underserved urban areas do nurses primarily treat?",80%,1,"Nurses treat 80% of the population who visit dispensaries, health centres and private clinics in rural and under-served urban areas.","What percentage of the population visiting dispensaries, health centers, and private clinics in rural and underserved urban areas do nurses primarily treat?",80%,1,"Nurses treat 80% of the population who visit dispensaries, health centres and private clinics in rural and under-served urban areas.","What percentage of the population visiting dispensaries, health centers, and private clinics in rural and underserved urban areas do nurses primarily treat?",80%,1
ctx_validation_18,1,1,"Both before and after the 1708 passage of the Foreign Protestants Naturalization Act, an estimated 50,000 Protestant Walloons and Huguenots fled to England, with many moving on to Ireland and elsewhere.",What large wave of immigration occurred due to the 1708 Foreign Protestants Naturalization Act?,"The large wave of immigration that occurred due to the 1708 Foreign Protestants Naturalization Act was estimated at 50,000 Protestant Walloons and Huguenots",1,"Both before and after the 1708 passage of the Foreign Protestants Naturalization Act, an estimated 50,000 Protestant Walloons and Huguenots fled to England, with many moving on to Ireland and elsewhere.",What large wave of immigration did Protestant Walloons and Huguenots experience before and after the 1708 passage of the Foreign Protestants Naturalization Act?,One of the largest waves of immigration ever experienced by a single ethnic community to Britain.,0,"Both before and after the 1708 passage of the Foreign Protestants Naturalization Act, an estimated 50,000 Protestant Walloons and Huguenots fled to England, with many moving on to Ireland and elsewhere.",How many Protestant Walloons and Huguenots were estimated to have fled to England both before and after the 1708 passage of the Foreign Protestants Naturalization Act?,"50,000",1
